BMD,BMJ,BT,BUY_DAYS_CLOSED,N,NB_JOUR_OUVRES,RATIO_IN_POSITION,RATIO_NOT_IN_POSITION,S_G_N,TRADABLE_DAYS,TRADABLE_DAYS_IN_POSITION_CLOSED,TRADABLE_DAYS_NOT_IN_POSITION,action,action_G,action_PNL_AMOUNT,action_reason,alerts,allocated,bank,buy_code,buy_codes,buy_gm_filter,buy_gm_operator,buy_logic,buy_market_gm_current,buy_market_gm_market,buy_market_gm_sector,buy_market_operator,cash_ticker,date,forced_close,gm_buy_conditions,gm_push_buy_conditions,gm_push_buy_label,gm_push_sell_market_exit_conditions,gm_push_sell_market_exit_label,gm_sell_market_exit_conditions,gm_sell_market_exit_label,price_close,ratio_P,ratio_P_pct,sell_code,sell_codes,sell_gm_filter,sell_gm_operator,sell_logic,shares,tradable
,0,0,0,0,1,0,100,,1,0,1,,,,,"['Bf', 'D1', 'F1', 'GM_POS']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-03,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,156.480000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,2,0,100,,2,0,2,,,,,"['GM_POS', 'SPVv_basse']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-04,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,151.190000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,3,0,100,,3,0,3,,,,,"['GM_POS', 'SPv_basse']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-05,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,148.600010,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,4,0,100,,4,0,4,,,,,[],False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-06,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,149.120000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,5,0,100,,5,0,5,,,,,[],False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-07,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,145.149990,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,6,0,100,,6,0,6,,,,,"['GM_NEU', 'RHD_FAIL']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-10,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,145.160000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,7,0,100,,7,0,7,,,,,"['GM_POS', 'RHD_OK']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-11,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,146.640000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,8,0,100,,8,0,8,,,,,"['C1', 'E1', 'GM_POS']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-12,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,149.509990,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,9,0,100,,9,0,9,,,,,[],False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-13,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,145.170000,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
,0,0,0,0,10,0,100,,10,0,10,,,,,"['GM_POS', 'RHD_FAIL']",False,0,SPA & RHD_OK,"['SPA', 'RHD_OK']",IGNORE,AND,AND,IGNORE,GM_POS,IGNORE,AND,0,2022-01-14,False,"{'market': {'mode': 'POS', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}","{'market': {'mode': 'POS', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion positive,"{'market': {'mode': 'NEG', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'buy_threshold': None, 'sell_threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM_push marché: impulsion négative,"{'market': {'mode': 'NEG', 'threshold': None, 'explicit_threshold': False}, 'sector': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'current': {'mode': 'IGNORE', 'threshold': None, 'explicit_threshold': False}, 'operator': 'AND'}",GM marché: négatif,144.679990,,,SPV & RHD_FAIL,"['SPV', 'RHD_FAIL']",IGNORE,AND,OR,0,True
